method,shape,run,fitness,convergence_gen
Baldwin,Plus,18,1.0,0
Baldwin,Plus,19,1.0,0
Baldwin,Plus,20,1.0,0
Baldwin,Plus,21,1.0,0
Baldwin,Plus,22,1.0,0
Baldwin,Plus,23,1.0,0
Baldwin,Plus,24,1.0,0
Baldwin,Plus,25,1.0,0
Baldwin,Plus,26,1.0,0
Baldwin,Plus,27,1.0,0
Baldwin,Plus,28,1.0,0
Baldwin,Plus,29,1.0,0
Baldwin,Plus,30,1.0,0
Lamarckian,L,1,0.8,150
Lamarckian,L,2,0.8,150
Lamarckian,L,3,0.8,150
Lamarckian,L,4,0.8,150
Lamarckian,L,5,0.8,150
Lamarckian,L,6,0.8,150
Lamarckian,L,7,0.8,150
Lamarckian,L,8,0.8,150
Lamarckian,L,9,0.8,150
Lamarckian,L,10,0.8,150
Lamarckian,L,11,0.8,150
Lamarckian,L,12,0.8,150
Lamarckian,L,13,0.8,150
Lamarckian,L,14,0.8,150
Lamarckian,L,15,0.8,150
Lamarckian,L,16,0.8,150
Lamarckian,L,17,0.8,150
Lamarckian,L,18,0.8,150
Lamarckian,L,19,0.8,150
Lamarckian,L,20,0.8,150
Lamarckian,L,21,0.8,150
Lamarckian,L,22,0.8,150
Lamarckian,L,23,0.8,150
Lamarckian,L,24,0.8,150
Lamarckian,L,25,0.8,150
Lamarckian,L,26,0.8,150
Lamarckian,L,27,0.8,150
Lamarckian,L,28,0.8,150
Lamarckian,L,29,0.8,150
Lamarckian,L,30,0.8,150
Lamarckian,T,1,0.6666666666666666,150
Lamarckian,T,2,0.6666666666666666,150
Lamarckian,T,3,0.6666666666666666,150
Lamarckian,T,4,0.6666666666666666,150
Lamarckian,T,5,0.6666666666666666,150
Lamarckian,T,6,0.6666666666666666,150
Lamarckian,T,7,0.6666666666666666,150
Lamarckian,T,8,0.6666666666666666,150
Lamarckian,T,9,0.6666666666666666,150
Lamarckian,T,10,0.6666666666666666,150
Lamarckian,T,11,0.6666666666666666,150
Lamarckian,T,12,0.6666666666666666,150
Lamarckian,T,13,0.6666666666666666,150
Lamarckian,T,14,0.6666666666666666,150
Lamarckian,T,15,0.6666666666666666,150
Lamarckian,T,16,0.6666666666666666,150
Lamarckian,T,17,0.6666666666666666,150
Lamarckian,T,18,0.6666666666666666,150
